Category,debit,credit
"[""Food and Drink"", ""Restaurants"", ""Breakfast Spot""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Brazilian""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Barbecue""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Bakery""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Bagel Shop""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Australian""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Asian""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""American""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""African""]",54100,0
"[""Food and Drink"", ""Restaurants"", ""Afghan""]",54100,0
"[""Healthcare""]",52100,0
"[""Healthcare"", ""Healthcare Services""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Psychologists""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Pregnancy and Sexual Health""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Podiatrists""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Physical Therapy""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Optometrists""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Nutritionists""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Nurses""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Mental Health""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Medical Supplies and Labs""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Hospitals, Clinics and Medical Centers""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Emergency Services""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Dentists""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Counseling and Therapy""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Chiropractors""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Blood Banks and Centers""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Alternative Medicine""]",52100,0
"[""Healthcare"", ""Healthcare Services"", ""Acupuncture""]",52100,0
"[""Healthcare"", ""Physicians""]",52100,0
"[""Healthcare"", ""Physicians"", ""Urologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Respiratory""]",52100,0
"[""Healthcare"", ""Physicians"", ""Radiologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Psychiatrists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Plastic Surgeons""]",52100,0
"[""Healthcare"", ""Physicians"", ""Pediatricians""]",52100,0
"[""Healthcare"", ""Physicians"", ""Pathologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Orthopedic Surgeons""]",52100,0
"[""Healthcare"", ""Physicians"", ""Ophthalmologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Oncologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Obstetricians and Gynecologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Neurologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Internal Medicine""]",52100,0
"[""Healthcare"", ""Physicians"", ""General Surgery""]",52100,0
"[""Healthcare"", ""Physicians"", ""Gastroenterologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Family Medicine""]",52100,0
"[""Healthcare"", ""Physicians"", ""Ear, Nose and Throat""]",52100,0
"[""Healthcare"", ""Physicians"", ""Dermatologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Cardiologists""]",52100,0
"[""Healthcare"", ""Physicians"", ""Anesthesiologists""]",52100,0
"[""Payment""]",21100,0
"[""Payment"", ""Credit Card""]",21100,0
"[""Payment"", ""Rent""]",52301,0
"[""Payment"", ""Loan""]",21200,0
"[""Recreation""]",54300,0
"[""Recreation"", ""Arts and Entertainment""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Theatrical Productions""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Symphony and Opera""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Sports Venues""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Social Clubs""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Psychics and Astrologers""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Party Centers""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Music and Show Venues""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Museums""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Movie Theatres""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Fairgrounds and Rodeos""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Entertainment""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Dance Halls and Saloons""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Circuses and Carnivals""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Casinos and Gaming""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Bowling""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Billiards and Pool""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Art Dealers and Galleries""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Arcades and Amusement Parks""]",54300,0
"[""Recreation"", ""Arts and Entertainment"", ""Aquarium""]",54300,0
"[""Recreation"", ""Athletic Fields""]",54300,0
"[""Recreation"", ""Baseball""]",54300,0
"[""Recreation"", ""Basketball""]",54300,0
"[""Recreation"", ""Batting Cages""]",54300,0
"[""Recreation"", ""Boating""]",54300,0
"[""Recreation"", ""Campgrounds and RV Parks""]",54300,0
"[""Recreation"", ""Canoes and Kayaks""]",54300,0
"[""Recreation"", ""Combat Sports""]",54300,0
"[""Recreation"", ""Cycling""]",54300,0
"[""Recreation"", ""Dance""]",54300,0
"[""Recreation"", ""Equestrian""]",54300,0
"[""Recreation"", ""Football""]",54300,0
"[""Recreation"", ""Go Carts""]",54300,0
"[""Recreation"", ""Golf""]",54300,0
"[""Recreation"", ""Gun Ranges""]",54300,0
"[""Recreation"", ""Gymnastics""]",54300,0
"[""Recreation"", ""Gyms and Fitness Centers""]",52200,0
"[""Recreation"", ""Hiking""]",54300,0
"[""Recreation"", ""Hockey""]",54300,0
"[""Recreation"", ""Hot Air Balloons""]",54300,0
"[""Recreation"", ""Hunting and Fishing""]",54300,0
"[""Recreation"", ""Landmarks""]",54300,0
"[""Recreation"", ""Landmarks"", ""Monuments and Memorials""]",54300,0
"[""Recreation"", ""Landmarks"", ""Historic Sites""]",54300,0
"[""Recreation"", ""Landmarks"", ""Gardens""]",54300,0
"[""Recreation"", ""Landmarks"", ""Buildings and Structures""]",54300,0
"[""Recreation"", ""Miniature Golf""]",54300,0
"[""Recreation"", ""Outdoors""]",54300,0
"[""Recreation"", ""Outdoors"", ""Rivers""]",54300,0
"[""Recreation"", ""Outdoors"", ""Mountains""]",54300,0
"[""Recreation"", ""Outdoors"", ""Lakes""]",54300,0
"[""Recreation"", ""Outdoors"", ""Forests""]",54300,0
"[""Recreation"", ""Outdoors"", ""Beaches""]",54300,0
"[""Recreation"", ""Paintball""]",54300,0
"[""Recreation"", ""Parks""]",54300,0
"[""Recreation"", ""Parks"", ""Playgrounds""]",54300,0
"[""Recreation"", ""Parks"", ""Picnic Areas""]",54300,0
"[""Recreation"", ""Parks"", ""Natural Parks""]",54300,0
"[""Recreation"", ""Personal Trainers""]",54300,0
"[""Recreation"", ""Race Tracks""]",54300,0
"[""Recreation"", ""Racquet Sports""]",54300,0
"[""Recreation"", ""Racquetball""]",54300,0
"[""Recreation"", ""Rafting""]",54300,0
"[""Recreation"", ""Recreation Centers""]",54300,0
"[""Recreation"", ""Rock Climbing""]",54300,0
"[""Recreation"", ""Running""]",54300,0
"[""Recreation"", ""Scuba Diving""]",54300,0
"[""Recreation"", ""Skating""]",54300,0
"[""Recreation"", ""Skydiving""]",54300,0
"[""Recreation"", ""Snow Sports""]",54300,0
"[""Recreation"", ""Soccer""]",54300,0
"[""Recreation"", ""Sports and Recreation Camps""]",54300,0
"[""Recreation"", ""Sports Clubs""]",54300,0
"[""Recreation"", ""Stadiums and Arenas""]",54300,0
"[""Recreation"", ""Swimming""]",54300,0
